ip, threat_collection, threat_collection_key, threat_key, malware_alias, weight
77.78.196.173,ip_intel,cryptolaemus_es_ip_intel|77.78.196.173,cryptolaemus_es_ip_intel,emotet,1
82.208.149.146,ip_intel,cryptolaemus_es_ip_intel|82.208.149.146,cryptolaemus_es_ip_intel,emotet,1
5.196.35.138,ip_intel,cryptolaemus_es_ip_intel|5.196.35.138,cryptolaemus_es_ip_intel,emotet,1
81.214.253.80,ip_intel,cryptolaemus_es_ip_intel|81.214.253.80,cryptolaemus_es_ip_intel,emotet,1
81.215.230.173,ip_intel,cryptolaemus_es_ip_intel|81.215.230.173,cryptolaemus_es_ip_intel,emotet,1
104.131.41.185,ip_intel,cryptolaemus_es_ip_intel|104.131.41.185,cryptolaemus_es_ip_intel,emotet,1
180.232.111.30,ip_intel,cryptolaemus_es_ip_intel|180.232.111.30,cryptolaemus_es_ip_intel,emotet,1
59.148.253.194,ip_intel,cryptolaemus_es_ip_intel|59.148.253.194,cryptolaemus_es_ip_intel,emotet,1
82.76.111.249,ip_intel,cryptolaemus_es_ip_intel|82.76.111.249,cryptolaemus_es_ip_intel,emotet,1
177.144.130.105,ip_intel,cryptolaemus_es_ip_intel|177.144.130.105,cryptolaemus_es_ip_intel,emotet,1
175.145.248.25,ip_intel,cryptolaemus_es_ip_intel|175.145.248.25,cryptolaemus_es_ip_intel,emotet,1
94.176.234.118,ip_intel,cryptolaemus_es_ip_intel|94.176.234.118,cryptolaemus_es_ip_intel,emotet,1
190.101.156.139,ip_intel,cryptolaemus_es_ip_intel|190.101.156.139,cryptolaemus_es_ip_intel,emotet,1
46.101.58.37,ip_intel,cryptolaemus_es_ip_intel|46.101.58.37,cryptolaemus_es_ip_intel,emotet,1
138.97.60.141,ip_intel,cryptolaemus_es_ip_intel|138.97.60.141,cryptolaemus_es_ip_intel,emotet,1
46.43.2.95,ip_intel,cryptolaemus_es_ip_intel|46.43.2.95,cryptolaemus_es_ip_intel,emotet,1
192.175.111.212,ip_intel,cryptolaemus_es_ip_intel|192.175.111.212,cryptolaemus_es_ip_intel,emotet,1
187.195.48.241,ip_intel,cryptolaemus_es_ip_intel|187.195.48.241,cryptolaemus_es_ip_intel,emotet,1
79.183.194.197,ip_intel,cryptolaemus_es_ip_intel|79.183.194.197,cryptolaemus_es_ip_intel,emotet,1
212.71.237.140,ip_intel,cryptolaemus_es_ip_intel|212.71.237.140,cryptolaemus_es_ip_intel,emotet,1
68.183.190.199,ip_intel,cryptolaemus_es_ip_intel|68.183.190.199,cryptolaemus_es_ip_intel,emotet,1
192.232.229.54,ip_intel,cryptolaemus_es_ip_intel|192.232.229.54,cryptolaemus_es_ip_intel,emotet,1
192.241.143.52,ip_intel,cryptolaemus_es_ip_intel|192.241.143.52,cryptolaemus_es_ip_intel,emotet,1
80.249.176.206,ip_intel,cryptolaemus_es_ip_intel|80.249.176.206,cryptolaemus_es_ip_intel,emotet,1
74.58.215.226,ip_intel,cryptolaemus_es_ip_intel|74.58.215.226,cryptolaemus_es_ip_intel,emotet,1
152.169.22.67,ip_intel,cryptolaemus_es_ip_intel|152.169.22.67,cryptolaemus_es_ip_intel,emotet,1
190.45.24.210,ip_intel,cryptolaemus_es_ip_intel|190.45.24.210,cryptolaemus_es_ip_intel,emotet,1
12.163.208.58,ip_intel,cryptolaemus_es_ip_intel|12.163.208.58,cryptolaemus_es_ip_intel,emotet,1
87.106.46.107,ip_intel,cryptolaemus_es_ip_intel|87.106.46.107,cryptolaemus_es_ip_intel,emotet,1
178.211.45.66,ip_intel,cryptolaemus_es_ip_intel|178.211.45.66,cryptolaemus_es_ip_intel,emotet,1
60.249.78.226,ip_intel,cryptolaemus_es_ip_intel|60.249.78.226,cryptolaemus_es_ip_intel,emotet,1
167.86.68.49,ip_intel,cryptolaemus_es_ip_intel|167.86.68.49,cryptolaemus_es_ip_intel,emotet,1
35.143.99.174,ip_intel,cryptolaemus_es_ip_intel|35.143.99.174,cryptolaemus_es_ip_intel,emotet,1
202.79.24.136,ip_intel,cryptolaemus_es_ip_intel|202.79.24.136,cryptolaemus_es_ip_intel,emotet,1
54.36.185.60,ip_intel,cryptolaemus_es_ip_intel|54.36.185.60,cryptolaemus_es_ip_intel,emotet,1
190.251.216.100,ip_intel,cryptolaemus_es_ip_intel|190.251.216.100,cryptolaemus_es_ip_intel,emotet,1
181.58.181.9,ip_intel,cryptolaemus_es_ip_intel|181.58.181.9,cryptolaemus_es_ip_intel,emotet,1
96.252.116.33,ip_intel,cryptolaemus_es_ip_intel|96.252.116.33,cryptolaemus_es_ip_intel,emotet,1
110.145.11.73,ip_intel,cryptolaemus_es_ip_intel|110.145.11.73,cryptolaemus_es_ip_intel,emotet,1
185.201.9.197,ip_intel,cryptolaemus_es_ip_intel|185.201.9.197,cryptolaemus_es_ip_intel,emotet,1
64.207.182.168,ip_intel,cryptolaemus_es_ip_intel|64.207.182.168,cryptolaemus_es_ip_intel,emotet,1
51.89.36.180,ip_intel,cryptolaemus_es_ip_intel|51.89.36.180,cryptolaemus_es_ip_intel,emotet,1
208.74.26.234,ip_intel,cryptolaemus_es_ip_intel|208.74.26.234,cryptolaemus_es_ip_intel,emotet,1
89.216.122.92,ip_intel,cryptolaemus_es_ip_intel|89.216.122.92,cryptolaemus_es_ip_intel,emotet,1
190.164.104.62,ip_intel,cryptolaemus_es_ip_intel|190.164.104.62,cryptolaemus_es_ip_intel,emotet,1
62.75.141.82,ip_intel,cryptolaemus_es_ip_intel|62.75.141.82,cryptolaemus_es_ip_intel,emotet,1
94.230.70.6,ip_intel,cryptolaemus_es_ip_intel|94.230.70.6,cryptolaemus_es_ip_intel,emotet,1
37.187.72.193,ip_intel,cryptolaemus_es_ip_intel|37.187.72.193,cryptolaemus_es_ip_intel,emotet,1
72.186.136.247,ip_intel,cryptolaemus_es_ip_intel|72.186.136.247,cryptolaemus_es_ip_intel,emotet,1
138.68.87.218,ip_intel,cryptolaemus_es_ip_intel|138.68.87.218,cryptolaemus_es_ip_intel,emotet,1
120.150.60.189,ip_intel,cryptolaemus_es_ip_intel|120.150.60.189,cryptolaemus_es_ip_intel,emotet,1
24.69.65.8,ip_intel,cryptolaemus_es_ip_intel|24.69.65.8,cryptolaemus_es_ip_intel,emotet,1
110.142.236.207,ip_intel,cryptolaemus_es_ip_intel|110.142.236.207,cryptolaemus_es_ip_intel,emotet,1
74.208.45.104,ip_intel,cryptolaemus_es_ip_intel|74.208.45.104,cryptolaemus_es_ip_intel,emotet,1
113.61.66.94,ip_intel,cryptolaemus_es_ip_intel|113.61.66.94,cryptolaemus_es_ip_intel,emotet,1
74.128.121.17,ip_intel,cryptolaemus_es_ip_intel|74.128.121.17,cryptolaemus_es_ip_intel,emotet,1
110.145.101.66,ip_intel,cryptolaemus_es_ip_intel|110.145.101.66,cryptolaemus_es_ip_intel,emotet,1
2.58.16.89,ip_intel,cryptolaemus_es_ip_intel|2.58.16.89,cryptolaemus_es_ip_intel,emotet,1
115.94.207.99,ip_intel,cryptolaemus_es_ip_intel|115.94.207.99,cryptolaemus_es_ip_intel,emotet,1
123.176.25.234,ip_intel,cryptolaemus_es_ip_intel|123.176.25.234,cryptolaemus_es_ip_intel,emotet,1
184.180.181.202,ip_intel,cryptolaemus_es_ip_intel|184.180.181.202,cryptolaemus_es_ip_intel,emotet,1
167.114.153.111,ip_intel,cryptolaemus_es_ip_intel|167.114.153.111,cryptolaemus_es_ip_intel,emotet,1
155.186.9.160,ip_intel,cryptolaemus_es_ip_intel|155.186.9.160,cryptolaemus_es_ip_intel,emotet,1
